"Region","Provincia","votos_keiko","votos_castillo","ratio_keiko_castillo"
"AMAZONAS","CHACHAPOYAS",10473,15671,0.668304511518091
"AMAZONAS","BAGUA",10770,25980,0.414549653579677
"AMAZONAS","BONGARA",5209,8374,0.622044423214712
"AMAZONAS","LUYA",7840,12606,0.621926066952245
"AMAZONAS","RODRIGUEZ DE MENDOZA",5491,7967,0.689218024350446
"AMAZONAS","CONDORCANQUI",1446,14024,0.103108956075299
"AMAZONAS","UTCUBAMBA",19222,36540,0.526053639846743
"ANCASH","HUARAZ",33193,58628,0.566162925564577
"ANCASH","AIJA",1413,2325,0.607741935483871
"ANCASH","BOLOGNESI",3994,7690,0.519375812743823
"ANCASH","CARHUAZ",8590,18781,0.457377136467707
"ANCASH","CASMA",15546,11328,1.37235169491525
"ANCASH","CORONGO",1460,2174,0.671573137074517
"ANCASH","HUAYLAS",14452,13625,1.06069724770642
"ANCASH","HUARI",6734,27357,0.246152721424133
"ANCASH","MARISCAL LUZURIAGA",1628,8383,0.194202552785399
"ANCASH","PALLASCA",2754,7451,0.369614816803114
"ANCASH","POMABAMBA",2527,9061,0.278887540006622
"ANCASH","RECUAY",2839,7790,0.364441591784339
"ANCASH","SANTA",125495,119916,1.04652423363021
"ANCASH","SIHUAS",3439,9602,0.35815455113518
"ANCASH","YUNGAY",9295,19705,0.471707688403958
"ANCASH","ANTONIO RAIMONDI",788,5056,0.155854430379747
"ANCASH","CARLOS FERMIN FITZCARRALD",1697,6462,0.262612194367069
"ANCASH","ASUNCION",827,2860,0.289160839160839
"ANCASH","HUARMEY",9228,7621,1.21086471591655
"ANCASH","OCROS",1729,1642,1.05298416565164
"APURIMAC","ABANCAY",15012,43244,0.347146424937564
"APURIMAC","AYMARAES",2792,11122,0.251033986693041
"APURIMAC","ANDAHUAYLAS",13578,65475,0.20737686139748
"APURIMAC","ANTABAMBA",910,4797,0.18970189701897
"APURIMAC","COTABAMBAS",1961,20212,0.0970215713437562
"APURIMAC","GRAU",1475,9703,0.152014840770896
"APURIMAC","CHINCHEROS",3938,19791,0.198979334040726
"AREQUIPA","AREQUIPA",255453,433994,0.58860951994728
"AREQUIPA","CAYLLOMA",7559,46879,0.161244907101261
"AREQUIPA","CAMANA",14197,20623,0.688406148475004
"AREQUIPA","CARAVELI",9434,8422,1.12016148183329
"AREQUIPA","CASTILLA",4070,12800,0.31796875
"AREQUIPA","CONDESUYOS",1299,5918,0.219499831023995
"AREQUIPA","ISLAY",9743,24149,0.403453559153588
"AREQUIPA","LA UNION",867,5300,0.163584905660377
"AYACUCHO","HUAMANGA",28067,130495,0.215081037587647
"AYACUCHO","CANGALLO",1825,14901,0.12247500167774
"AYACUCHO","HUANTA",7682,37717,0.203674735530397
"AYACUCHO","LA MAR",5411,31155,0.173679987160969
"AYACUCHO","LUCANAS",5958,15932,0.373964348481044
"AYACUCHO","PARINACOCHAS",1992,8985,0.221702838063439
"AYACUCHO","VICTOR FAJARDO",969,8745,0.110806174957118
"AYACUCHO","HUANCA SANCOS",560,4219,0.132732875088884
"AYACUCHO","VILCAS HUAMAN",1427,8199,0.174045615318941
"AYACUCHO","PAUCAR DEL SARA SARA",1129,3051,0.370042608980662
"AYACUCHO","SUCRE",1041,3425,0.303941605839416
"CAJAMARCA","CAJAMARCA",79417,114306,0.694775427361643
"CAJAMARCA","CAJABAMBA",14637,18407,0.795186613788233
"CAJAMARCA","CELENDIN",7597,31762,0.239185189849506
"CAJAMARCA","CONTUMAZA",5482,8516,0.643729450446219
"CAJAMARCA","CUTERVO",15584,42346,0.368015869267463
"CAJAMARCA","CHOTA",10980,66988,0.163909954021616
"CAJAMARCA","HUALGAYOC",4454,41949,0.106176547712699
"CAJAMARCA","JAEN",31208,72760,0.42891698735569
"CAJAMARCA","SANTA CRUZ",5478,13949,0.392716323750807
"CAJAMARCA","SAN MIGUEL",7467,18354,0.406832298136646
"CAJAMARCA","SAN IGNACIO",14199,53076,0.267522043861632
"CAJAMARCA","SAN MARCOS",6307,17596,0.358433734939759
"CAJAMARCA","SAN PABLO",2593,9781,0.265105817401084
"CUSCO","CUSCO",74858,188294,0.397559136244384
"CUSCO","ACOMAYO",952,12645,0.0752866745749308
"CUSCO","ANTA",4173,31243,0.133565918765804
"CUSCO","CALCA",4816,33987,0.141701238708918
"CUSCO","CANAS",957,20979,0.0456170456170456
"CUSCO","CANCHIS",4959,54914,0.0903048402957352
"CUSCO","CHUMBIVILCAS",1366,37205,0.0367154952291359
"CUSCO","ESPINAR",2657,31461,0.0844537681574012
"CUSCO","LA CONVENCION",14714,80604,0.182546771872364
"CUSCO","PARURO",1262,14739,0.0856231766062827
"CUSCO","PAUCARTAMBO",1898,23356,0.0812639150539476
"CUSCO","QUISPICANCHI",5208,45833,0.11362991730849
"CUSCO","URUBAMBA",5475,35261,0.155270695669436
"HUANCAVELICA","HUANCAVELICA",7895,58658,0.134593746803505
"HUANCAVELICA","ACOBAMBA",2817,19060,0.147796432318993
"HUANCAVELICA","ANGARAES",2826,22351,0.126437295870431
"HUANCAVELICA","CASTROVIRREYNA",2962,6194,0.478204714239587
"HUANCAVELICA","TAYACAJA",7372,39343,0.187377678367181
"HUANCAVELICA","HUAYTARA",3325,6890,0.482583454281568
"HUANCAVELICA","CHURCAMPA",2585,13783,0.18754988028731
"HUANUCO","HUANUCO",56436,100117,0.563700470449574
"HUANUCO","AMBO",9102,19053,0.477720044087545
"HUANUCO","DOS DE MAYO",3224,13494,0.238921001926782
"HUANUCO","HUAMALIES",4374,20869,0.209593176481863
"HUANUCO","MARAÑON",3809,8579,0.443991141158643
"HUANUCO","LEONCIO PRADO",30690,36550,0.839671682626539
"HUANUCO","PACHITEA",4568,20480,0.223046875
"HUANUCO","PUERTO INCA",5788,9290,0.623035522066738
"HUANUCO","HUACAYBAMBA",1144,5666,0.201906106600777
"HUANUCO","LAURICOCHA",1486,8868,0.167568786648624
"HUANUCO","YAROWILCA",1278,12590,0.101509134233519
"ICA","ICA",119312,105869,1.12697767996297
"ICA","CHINCHA",69260,60889,1.13747967613198
"ICA","NASCA",20755,20001,1.03769811509425
"ICA","PISCO",43954,42172,1.04225552499289
"ICA","PALPA",4359,4385,0.994070695553022
"JUNIN","HUANCAYO",127408,192763,0.660956718872398
"JUNIN","CONCEPCION",13948,18344,0.76035761011775
"JUNIN","JAUJA",23194,24646,0.941085774567881
"JUNIN","JUNIN",3698,7902,0.467982789167299
"JUNIN","TARMA",24617,26099,0.943216215180658
"JUNIN","YAULI",6270,12994,0.482530398645529
"JUNIN","SATIPO",36845,46149,0.798392164510607
"JUNIN","CHANCHAMAYO",38205,43805,0.87216071224746
"JUNIN","CHUPACA",11190,23896,0.468279209909608
"LA LIBERTAD","TRUJILLO",373297,189118,1.97388403007646
"LA LIBERTAD","BOLIVAR",2217,3522,0.629471890971039
"LA LIBERTAD","SANCHEZ CARRION",32657,33875,0.964044280442804
"LA LIBERTAD","OTUZCO",20611,22808,0.903674149421256
"LA LIBERTAD","PACASMAYO",31841,23759,1.34016583189528
"LA LIBERTAD","PATAZ",12728,17526,0.726235307543079
"LA LIBERTAD","SANTIAGO DE CHUCO",10543,13560,0.777507374631268
"LA LIBERTAD","ASCOPE",40901,27260,1.50040352164343
"LA LIBERTAD","CHEPEN",26168,20163,1.29782274463126
"LA LIBERTAD","JULCAN",6768,8611,0.785971431889444
"LA LIBERTAD","GRAN CHIMU",9046,4215,2.14614472123369
"LA LIBERTAD","VIRU",21640,27807,0.778221311180638
"LAMBAYEQUE","CHICLAYO",282879,191094,1.48031335363748
"LAMBAYEQUE","FERREÑAFE",25145,26528,0.947866405307599
"LAMBAYEQUE","LAMBAYEQUE",95192,72162,1.31914303927275
"LIMA","LIMA",3718086,1938450,1.91807165518842
"LIMA","CAJATAMBO",1749,1437,1.21711899791232
"LIMA","CANTA",4054,4398,0.921782628467485
"LIMA","CAÑETE",75387,62459,1.20698378136057
"LIMA","HUAURA",68950,59687,1.15519292308208
"LIMA","HUAROCHIRI",29388,33291,0.882761106605389
"LIMA","YAUYOS",5251,7645,0.686854153041203
"LIMA","HUARAL",61808,47573,1.2992243499464
"LIMA","BARRANCA",46106,36411,1.26626568894016
"LIMA","OYON",3563,4419,0.806291016066984
"LORETO","MAYNAS",129868,104623,1.2412949351481
"LORETO","ALTO AMAZONAS",16652,37196,0.447682546510377
"LORETO","LORETO",13517,11058,1.22237294266594
"LORETO","REQUENA",15804,8780,1.8
"LORETO","UCAYALI",9701,13163,0.73699004786143
"LORETO","MARISCAL RAMON CASTILLA",15274,6172,2.47472456254051
"LORETO","DATEM DEL MARAÑON",5820,11948,0.487110813525276
"LORETO","PUTUMAYO",1596,825,1.93454545454545
"MADRE DE DIOS","TAMBOPATA",19978,48146,0.414946205292236
"MADRE DE DIOS","MANU",1563,5913,0.264332825976662
"MADRE DE DIOS","TAHUAMANU",1831,3328,0.550180288461538
"MOQUEGUA","MARISCAL NIETO",11530,42309,0.272518849417382
